District,Disposition Quarter,Average number of hearings per case
12,2017 Q1,7.7167
12,2017 Q2,6.8476
12,2017 Q3,9.523
12,2017 Q4,9.3158
12,2018 Q1,8.4848
12,2018 Q2,9.3349
12,2018 Q3,8.6848
12,2018 Q4,11.1831
12,2019 Q1,8.8056
12,2019 Q2,10.3609
12,2019 Q3,10.744
12,2019 Q4,9.8087
12,2020 Q1,10.2558
12,2020 Q2,11.3356
12,2020 Q3,10.4831
12,2020 Q4,8.6667
12,2021 Q1,9.4453
12,2021 Q2,9.1579
12,2021 Q3,9.1034
12,2021 Q4,10.7476
12,2022 Q1,9.6082
12,2022 Q2,9.4254
12,2022 Q3,9.6389
12,2022 Q4,9.8115
12,2023 Q1,9.9286
12,2023 Q2,9.25
12,2023 Q3,9.8447
12,2023 Q4,10.7759
12,2024 Q1,8.5682
12,2024 Q2,9.198
12,2024 Q3,9.7652
12,2024 Q4,9.5146
12,2025 Q1,10.1761
12,2025 Q2,11.5772
12,2025 Q3,9.0667
12,2025 Q4,9.5591
12,2026 Q1,9.0083
12,2026 Q2,9.6055
