Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,72,48,120,60.0,40.0
2017 Q2,50,53,103,48.54368932,51.45631068
2017 Q3,114,43,157,72.61146497,27.38853503
2017 Q4,116,36,152,76.31578947,23.68421053
2018 Q1,78,38,116,67.24137931,32.75862069
2018 Q2,147,38,185,79.45945946,20.54054054
2018 Q3,69,14,83,83.13253012,16.86746988
2018 Q4,47,14,61,77.04918033,22.95081967
2019 Q1,55,15,70,78.57142857,21.42857143
2019 Q2,156,51,207,75.36231884,24.63768116
2019 Q3,102,21,123,82.92682927,17.07317073
2019 Q4,80,34,114,70.1754386,29.8245614
2020 Q1,122,45,167,73.05389222,26.94610778
2020 Q2,103,36,139,74.10071942,25.89928058
2020 Q3,94,29,123,76.42276423,23.57723577
2020 Q4,65,29,94,69.14893617,30.85106383
2021 Q1,95,34,129,73.64341085,26.35658915
2021 Q2,108,65,173,62.42774566,37.57225434
2021 Q3,82,58,140,58.57142857,41.42857143
2021 Q4,146,58,204,71.56862745,28.43137255
2022 Q1,127,59,186,68.27956989,31.72043011
2022 Q2,120,58,178,67.41573034,32.58426966
2022 Q3,120,55,175,68.57142857,31.42857143
2022 Q4,80,43,123,65.04065041,34.95934959
2023 Q1,51,35,86,59.30232558,40.69767442
2023 Q2,56,18,74,75.67567568,24.32432432
2023 Q3,77,27,104,74.03846154,25.96153846
2023 Q4,94,22,116,81.03448276,18.96551724
2024 Q1,52,35,87,59.77011494,40.22988506
2024 Q2,77,26,103,74.75728155,25.24271845
2024 Q3,89,24,113,78.76106195,21.23893805
2024 Q4,63,38,101,62.37623762,37.62376238
2025 Q1,104,38,142,73.23943662,26.76056338
2025 Q2,88,29,117,75.21367521,24.78632479
2025 Q3,55,30,85,64.70588235,35.29411765
2025 Q4,84,28,112,75.0,25.0
2026 Q1,74,34,108,68.51851852,31.48148148
2026 Q2,84,33,117,71.79487179,28.20512821
