Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2018 Q1,14.125,12.5455
2018 Q2,19.3333,17.4444
2018 Q3,13.0909,15.375
2018 Q4,13.75,15.5714
2019 Q1,14.8333,14.0
2019 Q2,14.3077,14.4545
2019 Q3,14.5333,15.4545
2019 Q4,12.6429,17.625
2020 Q1,13.9167,15.3846
2020 Q2,12.6,11.0909
2020 Q3,12.3333,10.4444
2020 Q4,15.1111,11.5556
2021 Q1,18.0,14.0
2021 Q2,15.3,16.75
2021 Q3,13.625,18.8889
2021 Q4,11.0,19.2222
2022 Q1,11.375,19.0
2022 Q2,10.4444,20.375
2022 Q3,10.1111,12.375
2022 Q4,15.4286,11.2222
2023 Q1,13.0,12.2857
2023 Q2,14.5,12.5
2023 Q3,13.75,16.8571
2023 Q4,15.6,14.8333
2024 Q1,14.0,17.4
2024 Q2,20.8333,17.0
2024 Q3,13.1111,16.4286
2024 Q4,15.1111,15.4286
2025 Q1,12.5,16.7143
2025 Q2,14.75,14.0
2025 Q3,14.7143,14.75
2025 Q4,16.1429,12.8333
2026 Q1,19.6667,14.2857
2026 Q2,20.8,13.375
