Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,5109,301,14,4,52,8510,15
2018,4189,324,125,6,46,9182,7
2019,3990,295,154,10,62,10307,20
2020,3433,331,202,8,75,10467,5
2021,3542,306,229,4,85,10677,14
2022,3681,311,252,16,94,9878,8
2023,3897,383,547,13,106,10723,15
2024,4246,410,814,27,93,10883,10
2025,4102,521,706,16,101,10691,18
