Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,134,691,828,16.2,83.5
2021,141,692,839,16.8,82.5
2022,146,623,771,18.9,80.8
2023,176,715,896,19.6,79.8
2024,234,697,934,25.1,74.6
2025,175,629,805,21.7,78.1
