District,Filing Quarter,Number of violent cases filed involving a child victim
17,2017 Q1,40
17,2017 Q2,40
17,2017 Q3,40
17,2017 Q4,35
17,2018 Q1,44
17,2018 Q2,49
17,2018 Q3,48
17,2018 Q4,35
17,2019 Q1,36
17,2019 Q2,49
17,2019 Q3,51
17,2019 Q4,34
17,2020 Q1,46
17,2020 Q2,49
17,2020 Q3,39
17,2020 Q4,41
17,2021 Q1,51
17,2021 Q2,42
17,2021 Q3,41
17,2021 Q4,44
17,2022 Q1,43
17,2022 Q2,35
17,2022 Q3,42
17,2022 Q4,46
17,2023 Q1,50
17,2023 Q2,45
17,2023 Q3,46
17,2023 Q4,47
17,2024 Q1,57
17,2024 Q2,48
17,2024 Q3,39
17,2024 Q4,49
17,2025 Q1,45
17,2025 Q2,41
17,2025 Q3,51
17,2025 Q4,42
17,2026 Q1,46
17,2026 Q2,26
