Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,8,37,23,43,192,19.3,12.0
2017 Q2,9,36,23,39,179,20.1,12.8
2017 Q3,3,30,29,48,203,14.8,14.3
2017 Q4,1,34,26,49,199,17.1,13.1
2018 Q1,12,40,24,39,199,20.1,12.1
2018 Q2,8,40,24,48,208,19.2,11.5
2018 Q3,10,28,36,45,217,12.9,16.6
2018 Q4,6,33,27,41,190,17.4,14.2
2019 Q1,6,32,35,34,180,17.8,19.4
2019 Q2,12,35,26,33,173,20.2,15.0
2019 Q3,11,43,34,44,231,18.6,14.7
2019 Q4,5,38,35,32,194,19.6,18.0
2020 Q1,12,36,36,34,212,17.0,17.0
2020 Q2,13,39,26,45,212,18.4,12.3
2020 Q3,14,32,30,61,227,14.1,13.2
2020 Q4,10,43,27,33,174,24.7,15.5
2021 Q1,12,45,32,41,224,20.1,14.3
2021 Q2,11,38,34,29,212,17.9,16.0
2021 Q3,10,43,28,45,215,20.0,13.0
2021 Q4,9,27,31,37,181,14.9,17.1
2022 Q1,10,48,21,30,187,25.7,11.2
2022 Q2,9,42,28,28,180,23.3,15.6
2022 Q3,11,33,35,46,207,15.9,16.9
2022 Q4,9,36,28,36,194,18.6,14.4
2023 Q1,17,49,34,45,230,21.3,14.8
2023 Q2,10,31,42,38,204,15.2,20.6
2023 Q3,12,50,32,53,245,20.4,13.1
2023 Q4,12,38,27,54,211,18.0,12.8
2024 Q1,12,53,35,59,236,22.5,14.8
2024 Q2,14,37,36,46,237,15.6,15.2
2024 Q3,13,38,32,59,222,17.1,14.4
2024 Q4,9,38,43,47,235,16.2,18.3
2025 Q1,11,37,40,40,212,17.5,18.9
2025 Q2,10,37,32,45,193,19.2,16.6
2025 Q3,16,46,35,41,216,21.3,16.2
2025 Q4,23,31,33,34,183,16.9,18.0
2026 Q1,7,35,41,42,196,17.9,20.9
2026 Q2,9,34,29,40,167,20.4,17.4
