Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,50,435,485,25,155,180,10.3,13.9
2021,63,495,558,36,210,246,11.3,14.6
2022,64,687,751,38,254,292,8.5,13.0
2023,78,633,711,44,252,296,11.0,14.9
2024,113,625,738,43,248,291,15.3,14.8
2025,89,530,619,65,215,280,14.4,23.2
