Filing Year,Male,Female,Unknown/Missing
2017,3968,4610,5427
2018,3757,4157,5965
2019,3652,4111,7075
2020,3491,3569,7461
2021,3324,3812,7721
2022,3605,3806,6829
2023,3787,4359,7538
2024,4302,4946,7235
2025,4668,5084,6408
