Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,94,462,556,45,236,281,16.9,16.0
2021,168,546,714,106,327,433,23.5,24.5
2022,177,605,782,121,387,508,22.6,23.8
2023,184,560,744,118,354,472,24.7,25.0
2024,220,615,835,135,325,460,26.3,29.3
2025,229,573,802,153,373,526,28.6,29.1
