Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,94,462,556,45,236,281,16.90647482,16.01423488
2021,168,545,713,106,328,434,23.56241234,24.42396313
2022,177,604,781,120,386,506,22.66325224,23.71541502
2023,184,560,744,118,354,472,24.7311828,25.0
2024,220,615,835,135,325,460,26.34730539,29.34782609
2025,229,573,802,153,372,525,28.55361596,29.14285714
