Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,435,3569,4004,335,1807,2142,10.9,15.6
2021,821,5250,6071,466,2199,2665,13.5,17.5
2022,824,5370,6194,624,2781,3405,13.3,18.3
2023,866,5334,6200,633,2488,3121,14.0,20.3
2024,908,5538,6446,736,2475,3211,14.1,22.9
2025,1013,5102,6115,763,2467,3230,16.6,23.6
