District,Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
17,2020,134,691,828,16.18357488,83.45410628
17,2021,141,692,839,16.8057211,82.47914184
17,2022,146,623,771,18.93644617,80.80415045
17,2023,176,715,896,19.64285714,79.79910714
17,2024,234,697,934,25.05353319,74.62526767
17,2025,175,629,805,21.73913043,78.13664596
