Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,40
2017 Q2,40
2017 Q3,40
2017 Q4,35
2018 Q1,44
2018 Q2,49
2018 Q3,48
2018 Q4,35
2019 Q1,36
2019 Q2,49
2019 Q3,51
2019 Q4,34
2020 Q1,46
2020 Q2,49
2020 Q3,39
2020 Q4,41
2021 Q1,51
2021 Q2,42
2021 Q3,41
2021 Q4,44
2022 Q1,43
2022 Q2,35
2022 Q3,42
2022 Q4,46
2023 Q1,50
2023 Q2,45
2023 Q3,46
2023 Q4,47
2024 Q1,57
2024 Q2,48
2024 Q3,39
2024 Q4,49
2025 Q1,45
2025 Q2,41
2025 Q3,51
2025 Q4,42
2026 Q1,46
2026 Q2,26
