District,Filing Year,Male,Female,Unknown/Missing
17,2017,3968,4610,5427
17,2018,3757,4157,5965
17,2019,3652,4111,7075
17,2020,3491,3569,7461
17,2021,3324,3812,7721
17,2022,3605,3806,6829
17,2023,3787,4359,7538
17,2024,4300,4946,7237
17,2025,4667,5083,6405
