Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2020,108,32,140,423,148,571,12,12,24,1196,413,1609,22.9,25.9,50.0,25.7
2021,89,65,154,466,181,647,13,12,25,1218,550,1768,42.2,28.0,48.0,31.1
2022,104,68,172,514,265,779,10,4,14,1205,685,1890,39.5,34.0,28.6,36.2
2023,113,67,180,643,220,863,11,2,13,1274,677,1951,37.2,25.5,15.4,34.7
2024,123,80,203,747,298,1045,12,9,21,1409,639,2048,39.4,28.5,42.9,31.2
2025,123,60,183,764,309,1073,12,11,23,1289,641,1930,32.8,28.8,47.8,33.2
