Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,1953.0,514.0,1403.0,370.0,357.0,72.0,14.0,217.0
Change since 2024,7.13110258,-4.10447761,-15.43098252,-10.41162228,40.5511811,-12.19512195,-22.22222222,19.23076923
