Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2019,154,144,298,116,133,249,51.7,46.6
2020,170,118,288,85,66,151,59.0,56.3
2021,158,76,234,126,72,198,67.5,63.6
2022,158,70,228,101,70,171,69.3,59.1
2023,149,90,239,115,89,204,62.3,56.4
2024,153,86,239,136,96,232,64.0,58.6
2025,159,59,218,167,92,259,72.9,64.5
