District,Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
20,2020,162,116,278,93,69,162,58.27338129,57.40740741
20,2021,152,73,225,129,74,203,67.55555556,63.54679803
20,2022,152,64,216,107,77,184,70.37037037,58.15217391
20,2023,138,82,220,128,96,224,62.72727273,57.14285714
20,2024,154,80,234,142,105,247,65.81196581,57.48987854
20,2025,160,59,219,166,94,260,73.05936073,63.84615385
20,2026,50,55,105,58,32,90,47.61904762,64.44444444
