Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2020,36,20,56,75,48,123,64.3,61.0
2021,34,18,52,114,64,178,65.4,64.0
2022,28,11,39,137,82,219,71.8,62.6
2023,34,23,57,133,78,211,59.6,63.0
2024,36,17,53,137,62,199,67.9,68.8
