Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,778,2,780,0.3
2017 Q2,819,4,823,0.5
2017 Q3,695,2,697,0.3
2017 Q4,783,8,791,1.0
2018 Q1,826,6,832,0.7
2018 Q2,898,7,905,0.8
2018 Q3,783,4,787,0.5
2018 Q4,882,7,889,0.8
2019 Q1,869,16,885,1.8
2019 Q2,973,14,987,1.4
2019 Q3,836,28,864,3.2
2019 Q4,797,45,842,5.3
2020 Q1,639,179,818,21.9
2020 Q2,238,91,329,27.7
2020 Q3,493,170,663,25.6
2020 Q4,395,169,564,30.0
2021 Q1,418,165,583,28.3
2021 Q2,485,199,684,29.1
2021 Q3,539,242,781,31.0
2021 Q4,373,204,577,35.4
2022 Q1,473,201,674,29.8
2022 Q2,482,277,759,36.5
2022 Q3,439,257,696,36.9
2022 Q4,458,289,747,38.7
2023 Q1,560,214,774,27.6
2023 Q2,531,239,770,31.0
2023 Q3,469,263,732,35.9
2023 Q4,516,261,777,33.6
2024 Q1,536,271,807,33.6
2024 Q2,594,243,837,29.0
2024 Q3,615,281,896,31.4
2024 Q4,597,242,839,28.8
2025 Q1,658,313,971,32.2
2025 Q2,603,241,844,28.6
2025 Q3,495,224,719,31.2
2025 Q4,455,245,700,35.0
