Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,778,2,780,0.25641026
2017 Q2,819,4,823,0.48602673
2017 Q3,695,2,697,0.28694405
2017 Q4,783,8,791,1.011378
2018 Q1,826,6,832,0.72115385
2018 Q2,898,7,905,0.77348066
2018 Q3,783,4,787,0.50825921
2018 Q4,882,7,889,0.78740157
2019 Q1,869,16,885,1.8079096
2019 Q2,973,14,987,1.41843972
2019 Q3,836,28,864,3.24074074
2019 Q4,797,45,842,5.34441805
2020 Q1,639,179,818,21.88264059
2020 Q2,238,91,329,27.65957447
2020 Q3,493,170,663,25.64102564
2020 Q4,395,169,564,29.96453901
2021 Q1,418,165,583,28.30188679
2021 Q2,485,199,684,29.09356725
2021 Q3,539,242,781,30.98591549
2021 Q4,373,204,577,35.35528596
2022 Q1,473,201,674,29.82195846
2022 Q2,482,277,759,36.49538867
2022 Q3,439,257,696,36.92528736
2022 Q4,458,289,747,38.68808568
2023 Q1,560,214,774,27.64857881
2023 Q2,531,239,770,31.03896104
2023 Q3,469,263,732,35.92896175
2023 Q4,516,261,777,33.59073359
2024 Q1,536,271,807,33.58116481
2024 Q2,594,243,837,29.03225806
2024 Q3,615,281,896,31.36160714
2024 Q4,597,242,839,28.84386174
2025 Q1,658,313,971,32.23480947
2025 Q2,603,241,844,28.55450237
2025 Q3,495,224,719,31.15438108
2025 Q4,455,243,698,34.81375358
