Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,22,6,40,42,62,8,10,2,192,27.1,3.1,69.8
2017 Q2,27,8,49,41,62,7,9,4,207,25.1,3.9,71.0
2017 Q3,28,2,48,45,64,4,9,4,204,26.0,1.0,73.0
2017 Q4,28,8,59,51,65,6,7,3,227,26.4,3.5,70.0
2018 Q1,31,9,44,49,81,3,7,2,226,23.9,4.0,72.1
2018 Q2,35,12,59,41,85,2,10,5,249,19.3,4.8,75.9
2018 Q3,29,9,48,64,80,1,11,2,244,27.5,3.7,68.9
2018 Q4,39,16,52,70,83,3,6,8,277,29.2,5.8,65.0
2019 Q1,34,21,52,56,83,10,9,3,268,25.7,7.8,66.4
2019 Q2,35,32,49,53,110,6,11,3,299,20.7,10.7,68.6
2019 Q3,26,18,46,43,88,2,14,2,239,19.7,7.5,72.8
2019 Q4,33,28,54,56,83,6,11,5,276,24.3,10.1,65.6
2020 Q1,32,32,42,52,84,6,15,4,267,23.2,12.0,64.8
2020 Q2,5,20,7,23,39,2,1,1,98,26.5,20.4,53.1
2020 Q3,3,43,21,51,54,5,8,0,185,30.3,23.2,46.5
2020 Q4,7,32,20,47,49,2,3,2,162,31.5,19.8,48.8
2021 Q1,9,34,17,56,55,2,5,1,179,33.0,19.0,48.0
2021 Q2,4,35,25,72,56,4,6,3,205,38.5,17.1,44.4
2021 Q3,16,43,32,89,62,6,5,3,256,38.3,16.8,44.9
2021 Q4,8,25,24,71,52,5,7,2,194,40.2,12.9,46.9
2022 Q1,7,38,21,85,70,7,12,5,245,39.6,15.5,44.9
2022 Q2,14,37,21,71,76,2,12,4,237,32.5,15.6,51.9
2022 Q3,19,37,32,60,64,3,10,2,227,28.6,16.3,55.1
2022 Q4,24,50,29,67,66,8,4,2,250,30.8,20.0,49.2
2023 Q1,17,34,21,57,67,6,5,4,211,31.8,16.1,52.1
2023 Q2,22,46,26,60,68,8,12,3,245,29.0,18.8,52.2
2023 Q3,21,37,25,67,64,5,3,7,229,34.5,16.2,49.3
2023 Q4,20,38,17,65,70,4,0,6,220,34.1,17.3,48.6
2024 Q1,19,28,27,72,57,9,5,6,223,39.0,12.6,48.4
2024 Q2,17,48,22,59,59,6,5,7,223,32.3,21.5,46.2
2024 Q3,24,39,29,70,80,6,5,3,256,30.9,15.2,53.9
2024 Q4,32,48,14,67,57,6,4,1,229,32.3,21.0,46.7
2025 Q1,37,50,25,84,76,14,4,5,295,34.9,16.9,48.1
2025 Q2,46,49,27,55,84,13,8,6,288,25.7,17.0,57.3
2025 Q3,34,37,21,58,56,7,1,3,217,31.3,17.1,51.6
2025 Q4,26,24,15,58,70,8,4,6,211,34.1,11.4,54.5
2026 Q1,25,49,24,71,48,10,6,2,235,35.3,20.9,43.8
2026 Q2,28,36,13,44,52,2,1,2,178,27.0,20.2,52.8
