Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2020,9,15,24,2,2,4,66,54,120,189,129,318,37.5,50.0,55.0,59.4
2021,18,13,31,6,3,9,110,38,148,229,121,350,58.1,66.7,74.3,65.4
2022,17,14,31,4,0,4,125,44,169,241,137,378,54.8,100.0,74.0,63.8
2023,29,15,44,1,0,1,96,71,167,267,149,416,65.9,100.0,57.5,64.2
2024,25,24,49,4,1,5,138,73,211,242,120,362,51.0,80.0,65.4,66.9
2025,22,13,35,3,2,5,172,78,250,252,105,357,62.9,60.0,68.8,70.6
