District,Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of White defendants detained pretrial
20,2020,108,32,140,423,151,574,1196,410,1606,22.85714286,26.30662021,25.52926526
20,2021,88,65,153,465,182,647,1219,549,1768,42.48366013,28.12982998,31.0520362
20,2022,104,68,172,513,266,779,1206,683,1889,39.53488372,34.14634146,36.15669666
20,2023,113,67,180,645,222,867,1271,674,1945,37.22222222,25.60553633,34.6529563
20,2024,123,80,203,747,298,1045,1409,639,2048,39.408867,28.51674641,31.20117188
20,2025,123,59,182,760,306,1066,1284,641,1925,32.41758242,28.7054409,33.2987013
