District,Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
20,Sentences in 2025,1948.0,514.0,1401.0,365.0,355.0,72.0,14.0,216.0
20,Change since 2024,6.8568294,-4.10447761,-15.55153707,-11.62227603,39.76377953,-12.19512195,-22.22222222,18.68131868
