District,Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
20,2020,16,175,90,19,44,7,117
20,2021,9,153,177,13,51,10,124
20,2022,13,168,160,11,68,5,150
20,2023,8,218,173,12,54,7,159
20,2024,9,201,145,8,79,5,181
20,2025,13,168,151,13,68,6,216
