Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
2020,500,231,1095,195,216
2021,646,307,1181,260,189
2022,565,404,1159,308,246
2023,440,418,1231,268,217
2024,636,412,1407,263,225
2025,668,378,1201,211,299
