DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,15,52,67,22.4,75,344,419,17.9
2019 Q2,11,61,72,15.3,92,427,519,17.7
2020 Q4,12,32,44,27.3,54,253,307,17.6
2025 Q3,11,26,37,29.7,70,302,372,18.8
2021 Q3,9,35,44,20.5,69,340,409,16.9
2023 Q1,10,47,57,17.5,81,346,427,19.0
2017 Q3,15,57,72,20.8,72,301,373,19.3
2025 Q4,10,23,33,30.3,51,303,354,14.4
2021 Q2,7,42,49,14.3,62,318,380,16.3
2019 Q1,15,49,64,23.4,94,384,478,19.7
2022 Q2,13,40,53,24.5,73,339,412,17.7
2018 Q1,25,55,80,31.2,70,382,452,15.5
2019 Q4,7,57,64,10.9,88,313,401,21.9
2021 Q1,5,39,44,11.4,43,289,332,13.0
2019 Q3,12,64,76,15.8,80,393,473,16.9
2024 Q1,10,42,52,19.2,79,381,460,17.2
2018 Q2,20,54,74,27.0,123,386,509,24.2
2020 Q1,10,53,63,15.9,80,351,431,18.6
2023 Q4,14,55,69,20.3,93,310,403,23.1
2018 Q4,18,63,81,22.2,99,354,453,21.9
2020 Q3,10,46,56,17.9,52,330,382,13.6
2017 Q4,19,71,90,21.1,67,329,396,16.9
2024 Q3,10,41,51,19.6,82,389,471,17.4
2024 Q2,15,52,67,22.4,90,363,453,19.9
2017 Q1,19,59,78,24.4,76,372,448,17.0
2022 Q3,7,37,44,15.9,63,303,366,17.2
2025 Q1,10,52,62,16.1,111,383,494,22.5
2023 Q2,13,44,57,22.8,86,311,397,21.7
2017 Q2,20,72,92,21.7,75,380,455,16.5
2020 Q2,6,24,30,20.0,22,148,170,12.9
2023 Q3,10,35,45,22.2,88,295,383,23.0
2022 Q1,3,34,37,8.1,56,302,358,15.6
2024 Q4,8,30,38,21.1,78,383,461,16.9
2025 Q2,10,38,48,20.8,78,331,409,19.1
2021 Q4,7,21,28,25.0,61,253,314,19.4
2022 Q4,12,40,52,23.1,72,308,380,18.9
