Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,277,47,55,49,13,135
2020,175,90,19,44,7,117
2021,153,177,13,51,10,124
2022,168,160,11,68,5,150
2023,218,173,12,54,7,159
2024,201,145,8,79,5,181
2025,168,152,13,68,6,216
