Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,500,231,1095,195,216,9
2021,646,307,1181,260,189,6
2022,565,404,1159,308,246,8
2023,440,418,1232,268,217,12
2024,636,412,1407,263,225,12
2025,670,378,1201,214,300,6
