Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2017,205,137,342,2,2,4,151,84,235,393,282,675,59.9,50.0,64.3,58.2
2018,231,202,433,3,1,4,150,101,251,427,287,714,53.3,75.0,59.8,59.8
2019,274,234,508,3,1,4,168,135,303,415,265,680,53.9,75.0,55.4,61.0
2020,157,167,324,2,2,4,118,123,241,233,204,437,48.5,50.0,49.0,53.3
2021,182,184,366,3,0,3,166,115,281,320,222,542,49.7,100.0,59.1,59.0
2022,233,166,399,1,3,4,179,147,326,350,235,585,58.4,25.0,54.9,59.8
2023,192,226,418,1,6,7,201,165,366,311,241,552,45.9,14.3,54.9,56.3
2024,191,196,387,3,1,4,204,171,375,245,192,437,49.4,75.0,54.4,56.1
2025,206,171,377,2,0,2,212,153,365,242,202,444,54.6,100.0,58.1,54.5
