Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2020,229,235,464,253,229,482,49.4,52.5
2021,291,245,536,350,242,592,54.3,59.1
2022,351,224,575,397,313,710,61.0,55.9
2023,313,260,573,386,353,739,54.6,52.2
2024,323,206,529,320,318,638,61.1,50.2
2025,289,213,502,372,300,672,57.6,55.4
