Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,1172,475,1647,28.8
2017 Q2,1198,489,1687,29.0
2017 Q3,1021,414,1435,28.9
2017 Q4,875,395,1270,31.1
2018 Q1,966,496,1462,33.9
2018 Q2,964,398,1362,29.2
2018 Q3,913,419,1332,31.5
2018 Q4,839,418,1257,33.3
2019 Q1,956,396,1352,29.3
2019 Q2,1087,512,1599,32.0
2019 Q3,985,421,1406,29.9
2019 Q4,986,531,1517,35.0
2020 Q1,875,470,1345,34.9
2020 Q2,431,178,609,29.2
2020 Q3,735,236,971,24.3
2020 Q4,681,284,965,29.4
2021 Q1,702,254,956,26.6
2021 Q2,780,341,1121,30.4
2021 Q3,728,386,1114,34.6
2021 Q4,627,403,1030,39.1
2022 Q1,691,365,1056,34.6
2022 Q2,766,437,1203,36.3
2022 Q3,796,467,1263,37.0
2022 Q4,752,425,1177,36.1
2023 Q1,804,478,1282,37.3
2023 Q2,730,465,1195,38.9
2023 Q3,691,435,1126,38.6
2023 Q4,652,387,1039,37.2
2024 Q1,689,442,1131,39.1
2024 Q2,758,429,1187,36.1
2024 Q3,732,465,1197,38.8
2024 Q4,645,444,1089,40.8
2025 Q1,678,507,1185,42.8
2025 Q2,766,506,1272,39.8
2025 Q3,761,479,1240,38.6
2025 Q4,723,473,1196,39.5
