Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2020,229,233,462,253,231,484,49.56709957,52.27272727
2021,289,237,526,352,250,602,54.94296578,58.4717608
2022,342,207,549,405,331,736,62.29508197,55.02717391
2023,286,235,521,414,378,792,54.89443378,52.27272727
2024,300,196,496,345,327,672,60.48387097,51.33928571
2025,274,212,486,389,301,690,56.37860082,56.37681159
