Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,1807,367,1512,363,256,45
2021,1715,374,1519,427,280,26
2022,1400,603,1580,430,330,26
2023,1255,559,1454,423,277,22
2024,1294,598,1619,347,249,16
2025,1699,745,1644,422,290,28
