District,Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
18,Sentences in 2025,4131.0,953.0,2121.0,497.0,304.0,114.0,72.0,477.0
18,Change since 2024,9.14134742,23.76623377,-0.6557377,14.78060046,15.15151515,10.67961165,1.4084507,0.84566596
