Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,4132.0,953.0,2125.0,499.0,303.0,116.0,72.0,478.0
Change since 2024,9.1677675,23.76623377,-0.46838407,14.97695853,14.77272727,12.62135922,1.4084507,0.84388186
