Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,1,441,66,5,66,63,384
2021,3,465,61,10,138,51,471
2022,5,514,93,9,166,35,510
2023,7,559,85,8,152,69,478
2024,10,493,85,4,101,55,474
2025,11,466,77,7,114,44,478
