District,Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
18,2020,1807,367,1512,363,256
18,2021,1715,374,1519,427,280
18,2022,1400,603,1580,430,330
18,2023,1255,559,1454,424,277
18,2024,1294,598,1619,346,249
18,2025,1698,745,1640,420,291
