Disposition Year,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2020,2,2,4,118,124,242,233,205,438,50.0,48.76033058,53.19634703
2021,3,0,3,168,115,283,318,222,540,100.0,59.3639576,58.88888889
2022,1,3,4,178,146,324,351,236,587,25.0,54.9382716,59.7955707
2023,1,5,6,201,162,363,311,245,556,16.66666667,55.37190083,55.9352518
2024,3,1,4,204,170,374,246,193,439,75.0,54.54545455,56.03644647
2025,2,0,2,212,151,363,242,204,446,100.0,58.40220386,54.26008969
