DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,23,86,109,21.1,136,520,656,20.7
2019 Q2,35,133,168,20.8,143,643,786,18.2
2020 Q4,18,90,108,16.7,87,436,523,16.6
2025 Q3,21,100,121,17.4,91,539,630,14.4
2021 Q3,23,106,129,17.8,100,461,561,17.8
2023 Q1,31,104,135,23.0,112,497,609,18.4
2017 Q3,19,93,112,17.0,148,584,732,20.2
2025 Q4,12,95,107,11.2,117,501,618,18.9
2021 Q2,27,111,138,19.6,77,440,517,14.9
2019 Q1,30,79,109,27.5,125,543,668,18.7
2022 Q2,16,100,116,13.8,112,480,592,18.9
2018 Q1,38,106,144,26.4,131,523,654,20.0
2019 Q4,26,116,142,18.3,157,586,743,21.1
2021 Q1,18,89,107,16.8,56,366,422,13.3
2019 Q3,35,106,141,24.8,134,611,745,18.0
2024 Q1,34,99,133,25.6,117,427,544,21.5
2018 Q2,24,86,110,21.8,122,567,689,17.7
2020 Q1,27,124,151,17.9,144,538,682,21.1
2023 Q4,33,114,147,22.4,81,371,452,17.9
2018 Q4,24,96,120,20.0,111,471,582,19.1
2020 Q3,17,94,111,15.3,63,420,483,13.0
2017 Q4,23,79,102,22.5,105,538,643,16.3
2024 Q3,26,104,130,20.0,100,501,601,16.6
2024 Q2,31,99,130,23.8,121,461,582,20.8
2017 Q1,38,83,121,31.4,170,706,876,19.4
2022 Q3,26,113,139,18.7,109,484,593,18.4
2025 Q1,26,107,133,19.5,124,490,614,20.2
2023 Q2,30,120,150,20.0,114,424,538,21.2
2017 Q2,25,104,129,19.4,148,724,872,17.0
2020 Q2,8,72,80,10.0,37,224,261,14.2
2023 Q3,26,109,135,19.3,110,397,507,21.7
2022 Q1,22,111,133,16.5,69,400,469,14.7
2024 Q4,31,82,113,27.4,124,472,596,20.8
2021 Q4,16,85,101,15.8,89,406,495,18.0
2025 Q2,25,94,119,21.0,118,550,668,17.7
2022 Q4,23,113,136,16.9,101,457,558,18.1
