Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2020,593,328,921,529,247,776,6,8,14,1400,562,1962,35.6,31.8,57.1,28.6
2021,670,358,1028,565,325,890,2,5,7,1368,675,2043,34.8,36.5,71.4,33.0
2022,652,476,1128,600,388,988,13,5,18,1497,793,2290,42.2,39.3,27.8,34.6
2023,646,497,1143,613,398,1011,10,8,18,1402,810,2212,43.5,39.4,44.4,36.6
2024,617,495,1112,685,442,1127,9,13,22,1341,789,2130,44.5,39.2,59.1,37.0
2025,664,523,1187,727,475,1202,6,9,15,1368,914,2282,44.1,39.5,60.0,40.1
