Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,109,116,37,116
2017 Q2,100,128,37,125
2017 Q3,82,111,36,108
2017 Q4,86,100,23,106
2018 Q1,113,143,44,144
2018 Q2,119,110,27,113
2018 Q3,109,107,30,121
2018 Q4,139,118,34,152
2019 Q1,115,109,30,144
2019 Q2,128,163,43,179
2019 Q3,145,137,32,124
2019 Q4,139,134,32,159
2020 Q1,117,148,19,136
2020 Q2,54,77,16,50
2020 Q3,101,113,17,95
2020 Q4,103,103,14,103
2021 Q1,93,102,30,116
2021 Q2,110,137,38,117
2021 Q3,98,126,32,110
2021 Q4,77,100,37,128
2022 Q1,91,131,38,114
2022 Q2,109,113,44,120
2022 Q3,101,138,47,156
2022 Q4,100,133,37,119
2023 Q1,113,135,31,139
2023 Q2,95,148,48,103
2023 Q3,74,132,36,129
2023 Q4,107,144,37,107
2024 Q1,118,129,33,128
2024 Q2,100,128,23,117
2024 Q3,131,127,25,125
2024 Q4,120,109,20,103
2025 Q1,135,130,35,109
2025 Q2,124,115,25,118
2025 Q3,108,116,26,133
2025 Q4,98,105,26,117
2026 Q1,103,107,22,101
2026 Q2,97,115,11,88
