Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,66,191,69,96,88,15,35,17,577,22.2,33.1,44.7
2017 Q2,61,224,45,93,102,14,34,11,584,20.2,38.4,41.4
2017 Q3,55,172,53,93,85,8,23,8,497,21.9,34.6,43.5
2017 Q4,58,130,44,87,86,11,26,7,449,23.4,29.0,47.7
2018 Q1,79,184,56,84,108,11,27,13,562,19.2,32.7,48.0
2018 Q2,45,138,54,88,77,10,22,12,446,24.7,30.9,44.4
2018 Q3,56,124,45,97,73,7,26,11,439,26.2,28.2,45.6
2018 Q4,76,106,59,65,76,10,17,14,423,21.0,25.1,53.9
2019 Q1,65,142,64,86,71,8,25,8,469,21.7,30.3,48.0
2019 Q2,68,122,74,102,120,14,18,8,526,23.6,23.2,53.2
2019 Q3,45,123,38,84,84,15,27,9,425,25.4,28.9,45.6
2019 Q4,65,106,64,109,92,20,17,12,485,29.1,21.9,49.1
2020 Q1,52,113,48,82,74,22,28,9,428,26.4,26.4,47.2
2020 Q2,16,44,22,36,31,4,3,9,165,29.7,26.7,43.6
2020 Q3,20,103,20,58,61,14,8,5,289,26.6,35.6,37.7
2020 Q4,16,68,17,64,71,9,6,13,264,32.6,25.8,41.7
2021 Q1,19,106,22,73,72,17,8,12,329,31.0,32.2,36.8
2021 Q2,16,106,19,107,86,11,17,10,372,34.4,28.5,37.1
2021 Q3,17,99,15,85,76,8,19,17,336,32.7,29.5,37.8
2021 Q4,29,81,26,82,100,14,18,11,361,29.6,22.4,47.9
2022 Q1,17,105,23,93,103,12,14,11,378,30.7,27.8,41.5
2022 Q2,38,111,28,81,101,9,16,13,397,25.9,28.0,46.1
2022 Q3,35,116,22,85,115,15,14,9,411,26.5,28.2,45.3
2022 Q4,26,104,24,75,99,14,19,10,371,26.7,28.0,45.3
2023 Q1,28,117,28,80,100,9,13,10,385,25.7,30.4,43.9
2023 Q2,35,107,35,80,89,7,9,11,373,26.3,28.7,45.0
2023 Q3,33,112,23,80,94,12,6,11,371,27.8,30.2,42.0
2023 Q4,30,87,19,61,93,9,8,7,314,24.5,27.7,47.8
2024 Q1,27,92,23,76,92,8,13,12,343,28.0,26.8,45.2
2024 Q2,33,94,15,72,81,7,13,7,322,26.7,29.2,44.1
2024 Q3,39,96,24,79,68,7,4,7,324,28.7,29.6,41.7
2024 Q4,31,68,17,63,79,6,13,8,285,27.0,23.9,49.1
2025 Q1,30,98,15,86,94,5,5,8,341,29.0,28.7,42.2
2025 Q2,39,100,43,74,69,14,6,4,349,26.4,28.7,45.0
2025 Q3,43,114,27,81,84,11,4,7,371,26.7,30.7,42.6
2025 Q4,34,100,21,66,89,10,9,2,331,23.6,30.2,46.2
