District,Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of White defendants detained pretrial
18,2020,594,329,923,529,247,776,1401,562,1963,35.64463705,31.82989691,28.6296485
18,2021,671,358,1029,563,329,892,1372,671,2043,34.79105928,36.88340807,32.84385707
18,2022,654,476,1130,597,387,984,1500,795,2295,42.12389381,39.32926829,34.64052288
18,2023,647,498,1145,611,399,1010,1406,809,2215,43.49344978,39.5049505,36.52370203
18,2024,618,495,1113,682,443,1125,1345,787,2132,44.47439353,39.37777778,36.91369606
18,2025,661,522,1183,722,473,1195,1369,913,2282,44.12510566,39.58158996,40.00876424
