Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,35,36,71,233,179,412,49.29577465,56.55339806
2020,15,34,49,137,137,274,30.6122449,50.0
2021,22,26,48,168,148,316,45.83333333,53.16455696
2022,28,15,43,211,166,377,65.11627907,55.96816976
2023,27,20,47,191,195,386,57.44680851,49.48186528
2024,20,16,36,173,170,343,55.55555556,50.43731778
