District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
11,2017 Q1,35,17,1,21
11,2017 Q2,34,19,1,25
11,2017 Q3,39,12,3,22
11,2017 Q4,30,15,5,41
11,2018 Q1,37,16,1,45
11,2018 Q2,36,21,1,39
11,2018 Q3,28,17,2,31
11,2018 Q4,22,27,4,31
11,2019 Q1,35,21,3,56
11,2019 Q2,31,25,1,35
11,2019 Q3,27,28,4,33
11,2019 Q4,31,37,1,19
11,2020 Q1,23,19,4,39
11,2020 Q2,26,21,0,21
11,2020 Q3,29,21,2,24
11,2020 Q4,22,6,4,39
11,2021 Q1,34,17,3,41
11,2021 Q2,27,23,4,53
11,2021 Q3,24,23,1,37
11,2021 Q4,28,16,6,37
11,2022 Q1,40,25,3,42
11,2022 Q2,23,29,2,38
11,2022 Q3,25,18,5,29
11,2022 Q4,32,12,1,29
11,2023 Q1,15,7,1,20
11,2023 Q2,26,18,2,31
11,2023 Q3,25,19,2,19
11,2023 Q4,24,15,2,32
11,2024 Q1,16,12,1,29
11,2024 Q2,25,11,2,25
11,2024 Q3,21,15,1,31
11,2024 Q4,24,6,1,26
11,2025 Q1,24,7,0,29
11,2025 Q2,25,13,5,19
11,2025 Q3,33,14,5,21
11,2025 Q4,28,18,1,11
11,2026 Q1,32,16,2,21
11,2026 Q2,16,12,4,21
