Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,15,16,31,40,23,63,48.4,63.5
2020,18,7,25,39,24,63,72.0,61.9
2021,12,2,14,38,22,60,85.7,63.3
2022,22,15,37,38,20,58,59.5,65.5
2023,11,11,22,24,13,37,50.0,64.9
2024,10,5,15,12,11,23,66.7,52.2
