District,Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
11,2020,0,67,42,3,10,4,123
11,2021,0,79,24,1,14,0,168
11,2022,2,84,35,0,11,0,138
11,2023,0,59,11,1,7,1,102
11,2024,0,44,21,2,5,0,111
11,2025,2,52,13,2,11,0,80
