Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,1105.0,134.0,356.0,127.0,64.0,11.0,3.0,81.0
Change since 2024,0.36330609,32.67326733,-5.82010582,18.69158879,-5.88235294,120.0,200.0,-27.02702703
