Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2019,26,7,33,123,39,162,6,0,6,899,281,1180,21.2,24.1,0.0,23.8
2020,38,10,48,108,25,133,5,0,5,764,226,990,20.8,18.8,0.0,22.8
2021,39,7,46,115,31,146,4,3,7,739,222,961,15.2,21.2,42.9,23.1
2022,33,9,42,98,37,135,0,0,0,641,198,839,21.4,27.4,,23.6
2023,34,6,40,79,19,98,0,0,0,479,152,631,15.0,19.4,,24.1
2024,29,5,34,94,24,118,0,0,0,486,186,672,14.7,20.3,,27.7
2025,33,10,43,91,25,116,2,0,2,499,199,698,23.3,21.6,0.0,28.5
