DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,2,15,17,11.8,35,158,193,18.1
2019 Q2,10,16,26,38.5,28,120,148,18.9
2020 Q4,2,4,6,33.3,27,113,140,19.3
2025 Q3,4,10,14,28.6,18,84,102,17.6
2021 Q3,5,18,23,21.7,24,125,149,16.1
2023 Q1,3,4,7,42.9,19,80,99,19.2
2017 Q3,3,9,12,25.0,29,113,142,20.4
2025 Q4,4,16,20,20.0,19,82,101,18.8
2021 Q2,4,20,24,16.7,19,98,117,16.2
2019 Q1,4,17,21,19.0,31,102,133,23.3
2022 Q2,10,19,29,34.5,20,90,110,18.2
2018 Q1,3,14,17,17.6,30,113,143,21.0
2019 Q4,16,21,37,43.2,22,125,147,15.0
2021 Q1,5,12,17,29.4,23,116,139,16.5
2019 Q3,4,24,28,14.3,53,118,171,31.0
2024 Q1,1,11,12,8.3,15,64,79,19.0
2018 Q2,7,14,21,33.3,32,94,126,25.4
2020 Q1,2,17,19,10.5,29,113,142,20.4
2023 Q4,4,11,15,26.7,22,52,74,29.7
2018 Q4,8,19,27,29.6,38,121,159,23.9
2020 Q3,2,19,21,9.5,29,120,149,19.5
2017 Q4,6,9,15,40.0,49,99,148,33.1
2024 Q3,3,12,15,20.0,26,74,100,26.0
2024 Q2,4,7,11,36.4,21,85,106,19.8
2017 Q1,3,14,17,17.6,35,101,136,25.7
2022 Q3,2,17,19,10.5,22,101,123,17.9
2025 Q1,1,6,7,14.3,22,76,98,22.4
2023 Q2,6,12,18,33.3,16,79,95,16.8
2017 Q2,4,15,19,21.1,28,118,146,19.2
2020 Q2,6,15,21,28.6,24,71,95,25.3
2023 Q3,5,15,20,25.0,15,59,74,20.3
2022 Q1,6,20,26,23.1,24,135,159,15.1
2024 Q4,2,5,7,28.6,22,97,119,18.5
2021 Q4,2,14,16,12.5,20,87,107,18.7
2025 Q2,2,11,13,15.4,23,83,106,21.7
2022 Q4,5,8,13,38.5,12,86,98,12.2
