District,Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
11,2020,241,27,485,147,98
11,2021,449,51,391,124,114
11,2022,415,59,331,89,108
11,2023,364,45,260,70,66
11,2024,421,55,315,84,58
11,2025,475,58,291,113,55
