Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,111,47,2,9,0,143
2020,67,42,3,10,4,123
2021,79,24,1,14,0,168
2022,84,35,0,11,0,138
2023,59,11,1,7,1,102
2024,44,21,2,5,0,111
2025,52,13,2,11,0,80
