Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2019,96,53,149,73,43,116,64.4,62.9
2020,78,38,116,72,24,96,67.2,75.0
2021,98,35,133,71,28,99,73.7,71.7
2022,79,33,112,66,40,106,70.5,62.3
2023,39,23,62,56,23,79,62.9,70.9
2024,45,22,67,62,15,77,67.2,80.5
2025,41,29,70,52,23,75,58.6,69.3
