Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2019,500,59,471,219,144,3
2020,241,27,485,147,98,2
2021,449,51,391,124,114,0
2022,415,59,331,89,108,0
2023,364,45,260,70,66,0
2024,421,55,315,84,58,1
2025,475,58,291,113,55,3
