District,Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
11,2020,78,38,116,72,24,96,67.24137931,75.0
11,2021,98,35,133,71,28,99,73.68421053,71.71717172
11,2022,79,33,112,66,40,106,70.53571429,62.26415094
11,2023,39,23,62,56,23,79,62.90322581,70.88607595
11,2024,45,22,67,62,15,77,67.1641791,80.51948052
11,2025,41,29,70,52,23,75,58.57142857,69.33333333
