Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,246,100,346,28.9
2017 Q2,261,83,344,24.1
2017 Q3,277,89,366,24.3
2017 Q4,278,102,380,26.8
2018 Q1,269,87,356,24.4
2018 Q2,280,80,360,22.2
2018 Q3,311,85,396,21.5
2018 Q4,282,72,354,20.3
2019 Q1,261,82,343,23.9
2019 Q2,266,77,343,22.4
2019 Q3,310,101,411,24.6
2019 Q4,294,82,376,21.8
2020 Q1,295,81,376,21.5
2020 Q2,161,50,211,23.7
2020 Q3,275,84,359,23.4
2020 Q4,249,52,301,17.3
2021 Q1,235,51,286,17.8
2021 Q2,240,69,309,22.3
2021 Q3,277,73,350,20.9
2021 Q4,210,80,290,27.6
2022 Q1,262,82,344,23.8
2022 Q2,212,52,264,19.7
2022 Q3,188,66,254,26.0
2022 Q4,181,52,233,22.3
2023 Q1,149,50,199,25.1
2023 Q2,183,45,228,19.7
2023 Q3,165,43,208,20.7
2023 Q4,149,47,196,24.0
2024 Q1,161,47,208,22.6
2024 Q2,175,58,233,24.9
2024 Q3,177,57,234,24.4
2024 Q4,180,64,244,26.2
2025 Q1,176,65,241,27.0
2025 Q2,197,53,250,21.2
2025 Q3,195,72,267,27.0
2025 Q4,180,72,252,28.6
