District,Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
11,2017 Q1,246,100,346,28.9017341
11,2017 Q2,261,83,344,24.12790698
11,2017 Q3,277,89,366,24.31693989
11,2017 Q4,278,102,380,26.84210526
11,2018 Q1,269,87,356,24.43820225
11,2018 Q2,280,80,360,22.22222222
11,2018 Q3,311,85,396,21.46464646
11,2018 Q4,282,72,354,20.33898305
11,2019 Q1,261,82,343,23.90670554
11,2019 Q2,266,77,343,22.44897959
11,2019 Q3,310,101,411,24.57420925
11,2019 Q4,294,82,376,21.80851064
11,2020 Q1,295,81,376,21.54255319
11,2020 Q2,161,50,211,23.69668246
11,2020 Q3,275,84,359,23.39832869
11,2020 Q4,249,52,301,17.27574751
11,2021 Q1,235,51,286,17.83216783
11,2021 Q2,240,69,309,22.33009709
11,2021 Q3,277,73,350,20.85714286
11,2021 Q4,210,80,290,27.5862069
11,2022 Q1,262,82,344,23.8372093
11,2022 Q2,212,52,264,19.6969697
11,2022 Q3,188,66,254,25.98425197
11,2022 Q4,181,52,233,22.31759657
11,2023 Q1,149,50,199,25.12562814
11,2023 Q2,183,45,228,19.73684211
11,2023 Q3,165,43,208,20.67307692
11,2023 Q4,149,47,196,23.97959184
11,2024 Q1,161,47,208,22.59615385
11,2024 Q2,175,58,233,24.89270386
11,2024 Q3,177,57,234,24.35897436
11,2024 Q4,180,64,244,26.2295082
11,2025 Q1,176,65,241,26.97095436
11,2025 Q2,197,53,250,21.2
11,2025 Q3,195,72,267,26.96629213
11,2025 Q4,180,72,252,28.57142857
