Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2017,11,3,14,2,3,5,22,6,28,112,57,169,78.6,40.0,78.6,66.3
2018,16,4,20,0,1,1,46,8,54,119,70,189,80.0,0.0,85.2,63.0
2019,14,1,15,3,0,3,42,14,56,133,96,229,93.3,100.0,75.0,58.1
2020,16,4,20,2,0,2,26,11,37,126,57,183,80.0,100.0,70.3,68.9
2021,24,2,26,1,2,3,35,9,44,135,67,202,92.3,33.3,79.5,66.8
2022,18,2,20,0,0,0,32,11,43,124,73,197,90.0,,74.4,62.9
2023,8,6,14,0,0,0,22,8,30,86,46,132,57.1,,73.3,65.2
2024,8,3,11,0,0,0,25,4,29,97,38,135,72.7,,86.2,71.9
2025,12,1,13,0,0,0,18,6,24,70,51,121,92.3,,75.0,57.9
