Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,15,16,31,38,22,60,48.38709677,63.33333333
2020,23,7,30,39,25,64,76.66666667,60.9375
2021,13,2,15,37,21,58,86.66666667,63.79310345
2022,21,14,35,38,21,59,60.0,64.40677966
2023,11,11,22,23,13,36,50.0,63.88888889
2024,10,5,15,10,10,20,66.66666667,50.0
