District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
21,2017 Q1,605,964,125,1694,35.71428571
21,2017 Q2,634,1125,141,1900,33.36842105
21,2017 Q3,624,1071,160,1855,33.63881402
21,2017 Q4,571,1043,156,1770,32.25988701
21,2018 Q1,613,1087,177,1877,32.6584976
21,2018 Q2,706,1080,182,1968,35.87398374
21,2018 Q3,626,1102,210,1938,32.30134159
21,2018 Q4,597,1077,208,1882,31.72157279
21,2019 Q1,590,1161,143,1894,31.15100317
21,2019 Q2,659,1049,150,1858,35.46824543
21,2019 Q3,660,1153,194,2007,32.88490284
21,2019 Q4,572,1066,152,1790,31.95530726
21,2020 Q1,504,1009,161,1674,30.10752688
21,2020 Q2,404,1451,198,2053,19.67851924
21,2020 Q3,440,1163,147,1750,25.14285714
21,2020 Q4,494,1017,157,1668,29.61630695
21,2021 Q1,503,1092,125,1720,29.24418605
21,2021 Q2,492,1371,172,2035,24.17690418
21,2021 Q3,515,1541,175,2231,23.08381892
21,2021 Q4,463,1728,203,2394,19.34001671
21,2022 Q1,461,1520,187,2168,21.26383764
21,2022 Q2,426,1449,276,2151,19.80474198
21,2022 Q3,412,1405,317,2134,19.30646673
21,2022 Q4,390,1423,322,2135,18.26697892
21,2023 Q1,362,1464,276,2102,17.22169363
21,2023 Q2,385,1428,300,2113,18.22053952
21,2023 Q3,379,1300,379,2058,18.4159378
21,2023 Q4,370,1355,281,2006,18.444666
21,2024 Q1,345,1443,269,2057,16.77199806
21,2024 Q2,355,1409,322,2086,17.01821668
21,2024 Q3,388,1363,277,2028,19.1321499
21,2024 Q4,356,1519,233,2108,16.88804554
21,2025 Q1,335,1259,249,1843,18.17688551
21,2025 Q2,322,1470,264,2056,15.6614786
21,2025 Q3,330,1470,266,2066,15.97289448
21,2025 Q4,263,1590,240,2093,12.56569517
21,2026 Q1,351,1381,294,2026,17.32477789
21,2026 Q2,298,1264,250,1812,16.44591611
