Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,605,964,125,1694,35.7
2017 Q2,634,1125,141,1900,33.4
2017 Q3,624,1071,160,1855,33.6
2017 Q4,571,1043,156,1770,32.3
2018 Q1,613,1087,177,1877,32.7
2018 Q2,706,1080,182,1968,35.9
2018 Q3,626,1102,210,1938,32.3
2018 Q4,597,1077,208,1882,31.7
2019 Q1,590,1161,143,1894,31.2
2019 Q2,659,1049,150,1858,35.5
2019 Q3,660,1153,194,2007,32.9
2019 Q4,572,1066,152,1790,32.0
2020 Q1,504,1009,161,1674,30.1
2020 Q2,404,1451,198,2053,19.7
2020 Q3,440,1163,147,1750,25.1
2020 Q4,494,1017,157,1668,29.6
2021 Q1,503,1092,125,1720,29.2
2021 Q2,492,1371,172,2035,24.2
2021 Q3,515,1541,175,2231,23.1
2021 Q4,463,1728,203,2394,19.3
2022 Q1,461,1520,187,2168,21.3
2022 Q2,426,1449,276,2151,19.8
2022 Q3,412,1405,317,2134,19.3
2022 Q4,390,1423,322,2135,18.3
2023 Q1,362,1464,276,2102,17.2
2023 Q2,385,1428,300,2113,18.2
2023 Q3,379,1300,379,2058,18.4
2023 Q4,370,1355,281,2006,18.4
2024 Q1,345,1443,269,2057,16.8
2024 Q2,355,1409,322,2086,17.0
2024 Q3,388,1363,277,2028,19.1
2024 Q4,356,1519,233,2108,16.9
2025 Q1,335,1259,249,1843,18.2
2025 Q2,322,1470,264,2056,15.7
2025 Q3,330,1470,266,2066,16.0
2025 Q4,263,1590,240,2093,12.6
2026 Q1,351,1382,293,2026,17.3
2026 Q2,298,1265,249,1812,16.4
